 Entering Gaussian System
 *********************************************
 Gaussian 98:
 frequency output generated by the xtb code
 *********************************************
                         Standard orientation:
 --------------------------------------------------------------------
  Center     Atomic     Atomic              Coordinates (Angstroms)
  Number     Number      Type              X           Y           Z
 --------------------------------------------------------------------
    1          6             0        4.264322    6.624463    0.388882
    2          6             0        5.121660    5.435229   -0.052449
    3          6             0        6.226882    5.228328    0.993189
    4          6             0        5.747771    5.780952   -1.410815
    5          6             0        4.323464    4.146339   -0.187121
    6          6             0        2.961169    4.073644    0.108354
    7          6             0        2.235755    2.901296   -0.008155
    8          6             0        2.889785    1.766334   -0.447364
    9          6             0        4.269135    1.807732   -0.736928
   10          6             0        4.973161    2.992140   -0.606068
   11          6             0        4.656949    0.471745   -1.103095
   12          6             0        5.867082   -0.105115   -1.459557
   13          6             0        5.921653   -1.457708   -1.758040
   14          6             0        7.222775   -2.173168   -2.088198
   15          6             0        7.458021   -3.263089   -1.032955
   16          6             0        7.124488   -2.806854   -3.482620
   17          6             0        8.430846   -1.232627   -2.078390
   18          6             0        4.731887   -2.195191   -1.752206
   19          6             0        3.514611   -1.643720   -1.409074
   20          6             0        3.493055   -0.313801   -1.027456
   21          7             0        2.424662    0.467817   -0.614611
   22          6             0        1.224120   -0.045058   -0.130148
   23          6             0        1.211876   -1.099172    0.804254
   24          7             0        2.408310   -1.601618    1.328741
   25          6             0        3.450133   -0.825897    1.808975
   26          6             0        3.444758    0.506929    2.188158
   27          6             0        4.633618    1.054730    2.629871
   28          6             0        5.792100    0.289098    2.724394
   29          6             0        5.782891   -1.056969    2.415617
   30          6             0        4.601488   -1.626891    1.963062
   31          6             0        4.226219   -2.958555    1.576574
   32          6             0        4.914319   -4.161807    1.512431
   33          6             0        4.247221   -5.283894    1.061898
   34          6             0        2.912713   -5.214680    0.672292
   35          6             0        2.207272   -4.027568    0.730221
   36          6             0        2.867946   -2.901138    1.193247
   37          6             0       -0.002034   -1.628681    1.222730
   38          6             0       -1.215714   -1.121790    0.775994
   39          7             0       -2.413896   -1.668366    1.252483
   40          6             0       -2.842090   -2.966148    1.029763
   41          6             0       -2.144681   -4.047771    0.516657
   42          6             0       -2.821512   -5.243719    0.369681
   43          6             0       -4.163389   -5.363732    0.720225
   44          6             0       -4.866594   -4.285312    1.219922
   45          6             0       -4.207553   -3.073858    1.374235
   46          6             0       -4.620750   -1.774433    1.826157
   47          6             0       -5.825001   -1.255091    2.279223
   48          6             0       -5.871650    0.071563    2.660041
   49          6             0       -4.729065    0.866060    2.634860
   50          6             0       -3.517774    0.368682    2.194467
   51          6             0       -3.483982   -0.941849    1.745717
   52          6             0       -1.225491   -0.052692   -0.138648
   53          7             0       -2.423460    0.481338   -0.609207
   54          6             0       -2.882845    1.768672   -0.361759
   55          6             0       -2.219558    2.870939    0.141810
   56          6             0       -2.941097    4.033119    0.348399
   57          6             0       -4.307623    4.125893    0.078582
   58          6             0       -5.104640    5.398500    0.327601
   59          6             0       -5.761131    5.846555   -0.985590
   60          6             0       -6.186184    5.107041    1.378043
   61          6             0       -4.240383    6.553039    0.841777
   62          6             0       -4.963760    3.005813   -0.416289
   63          6             0       -4.264106    1.832006   -0.637017
   64          6             0       -4.657990    0.522180   -1.082710
   65          6             0       -5.871435   -0.027616   -1.469105
   66          6             0       -5.932475   -1.359865   -1.847002
   67          6             0       -7.236710   -2.046469   -2.223100
   68          6             0       -7.138599   -2.588464   -3.655726
   69          6             0       -8.440227   -1.102548   -2.154147
   70          6             0       -7.479448   -3.201417   -1.241391
   71          6             0       -4.746820   -2.103221   -1.883112
   72          6             0       -3.526184   -1.578681   -1.510920
   73          6             0       -3.497070   -0.271627   -1.057859
   74          6             0       -0.000571    0.467972   -0.582911
   75          6             0       -0.007294    1.449818   -1.601793
   76          7             0       -0.018561    2.214537   -2.455316
   77          1             0        4.886957    7.514742    0.453027
   78          1             0        3.826642    6.451816    1.369497
   79          1             0        3.470520    6.820796   -0.327953
   80          1             0        5.789521    4.975556    1.957051
   81          1             0        6.811056    6.139077    1.107918
   82          1             0        6.899433    4.425385    0.704612
