 Entering Gaussian System
 *********************************************
 Gaussian 98:
 frequency output generated by the xtb code
 *********************************************
                         Standard orientation:
 --------------------------------------------------------------------
  Center     Atomic     Atomic              Coordinates (Angstroms)
  Number     Number      Type              X           Y           Z
 --------------------------------------------------------------------
    1          6             0       -0.710187    4.340257    1.426376
    2          6             0        0.436154    3.885675    0.530174
    3          6             0        0.261785    2.460130    0.006205
    4          6             0        0.364282    1.406653    1.107306
    5          6             0        0.249999   -0.030033    0.566247
    6          6             0        0.352291   -1.030097    1.733415
    7          6             0        0.242801   -2.484536    1.281831
    8          6             0        0.344140   -3.450821    2.459182
    9          6             0        0.232879   -4.901782    2.008391
   10          6             0        1.293996   -0.314730   -0.488463
   11          6             0        2.647771   -0.278519   -0.380926
   12          6             0        3.443234   -0.595180   -1.516724
   13          6             0        4.820092   -0.557081   -1.439809
   14          6             0        6.041014   -0.518096   -1.380688
   15          6             0        7.425263   -0.468804   -1.319549
   16          6             0        8.196526   -0.860536   -2.436675
   17          6             0        9.568089   -0.818858   -2.398486
   18          6             0       10.200279   -0.375560   -1.235982
   19          6             0        9.437098    0.023552   -0.114563
   20          6             0        8.071735   -0.022399   -0.143713
   21          6             0       10.343477    0.472314    1.008025
   22          6             0       10.103638    1.952053    1.361862
   23          6             0       10.269100    2.889571    0.167571
   24          6             0       10.019465    4.339429    0.563223
   25          6             0       10.156595   -0.394067    2.266726
   26          6             0       10.377302   -1.882985    2.008307
   27          6             0       10.180732   -2.699925    3.279106
   28          6             0       11.708887    0.269881    0.395643
   29          6             0       12.940751    0.505499    0.950791
   30          6             0       14.084668    0.241458    0.181947
   31          6             0       15.360083    0.476165    0.732857
   32          7             0       16.397137    0.669232    1.186578
   33          6             0       13.972947   -0.251459   -1.124182
   34          6             0       12.733219   -0.486588   -1.679356
   35          6             0       11.594857   -0.226439   -0.920358
   36          6             0        2.808458   -0.948540   -2.739630
   37          6             0        1.449603   -0.977259   -2.848703
   38          6             0        0.661746   -0.656735   -1.723797
   39          6             0       -0.735750   -0.597743   -1.558054
   40          6             0       -1.788227   -0.829887   -2.467580
   41          6             0       -3.076744   -0.689469   -2.044266
   42          6             0       -3.377058   -0.318533   -0.704243
   43          6             0       -4.689530   -0.180529   -0.302693
   44          6             0       -5.852899   -0.055798    0.053354
   45          6             0       -7.175599    0.082904    0.444842
   46          6             0       -7.491889    0.405914    1.783351
   47          6             0       -8.796506    0.543677    2.187839
   48          6             0       -9.818180    0.363491    1.254351
   49          6             0       -9.511491    0.044381   -0.088658
   50          6             0       -8.215361   -0.098070   -0.496654
   51          6             0      -10.777740   -0.091423   -0.901606
   52          6             0      -10.828624    0.948581   -2.036376
   53          6             0      -10.696161    2.386622   -1.539335
   54          6             0      -10.748409    3.378431   -2.694542
   55          6             0      -10.919153   -1.505553   -1.493671
   56          6             0      -10.879690   -2.605871   -0.435312
   57          6             0      -11.019400   -3.985439   -1.066334
   58          6             0      -11.837540    0.179726    0.139318
   59          6             0      -13.200979    0.192480   -0.009059
   60          6             0      -13.995330    0.474056    1.113053
   61          6             0      -15.398115    0.491976    0.982943
   62          7             0      -16.540933    0.505411    0.871415
