 Entering Gaussian System
 *********************************************
 Gaussian 98:
 frequency output generated by the xtb code
 *********************************************
                         Standard orientation:
 --------------------------------------------------------------------
  Center     Atomic     Atomic              Coordinates (Angstroms)
  Number     Number      Type              X           Y           Z
 --------------------------------------------------------------------
    1          6             0       -5.223611    5.244952   -2.155900
    2          6             0       -4.383714    3.982277   -1.927122
    3          6             0       -3.280607    3.965262   -2.996394
    4          6             0       -3.839240    3.968802   -0.505110
    5          6             0       -4.721973    4.171496    0.558051
    6          6             0       -4.274192    4.104146    1.859003
    7          6             0       -2.949901    3.768994    2.135882
    8          6             0       -2.034094    3.487372    1.098051
    9          6             0       -2.524375    3.645175   -0.206184
   10          5             0       -0.628509    2.988220    1.513220
   11          6             0        0.583171    2.454957    0.723053
   12          6             0        0.694601    2.309907   -0.674423
   13          6             0        1.819541    1.815072   -1.296079
   14          6             0        2.904791    1.393263   -0.531425
   15          7             0        4.087214    0.888223   -1.137905
   16          6             0        4.063135   -0.337146   -1.778291
   17          6             0        2.850678   -1.023678   -1.927183
   18          6             0        2.792850   -2.230495   -2.585699
   19          6             0        3.953245   -2.807985   -3.070992
   20          6             0        5.158085   -2.154287   -2.894486
   21          6             0        5.241885   -0.918506   -2.267975
   22          6             0        6.594055   -0.253605   -2.113016
   23          6             0        7.227258   -0.089115   -3.507683
   24          6             0        7.483985   -1.143777   -1.225718
   25          6             0        6.479074    1.112953   -1.470806
   26          6             0        7.617293    1.891338   -1.309947
   27          6             0        7.566695    3.159492   -0.762337
   28          6             0        6.343540    3.683704   -0.377845
   29          6             0        5.200128    2.929132   -0.514530
   30          6             0        5.251364    1.629161   -1.035162
   31          6             0        2.841516    1.504018    0.854354
   32          6             0        1.719360    2.049086    1.464946
   33          8             0        1.840475    2.164942    2.816784
   34          6             0        0.819895    2.620271    3.589142
   35          6             0        1.052370    2.698901    4.958645
   36          6             0        0.035181    3.121027    5.799644
   37          6             0       -1.205662    3.460727    5.286992
   38          6             0       -1.417134    3.398691    3.912274
   39          6             0       -0.407812    2.991613    3.027263
   40          8             0       -2.649958    3.738650    3.464069
   41          6             0       -5.182339    2.691667   -2.060416
   42          6             0       -6.469097    2.615476   -2.585805
   43          6             0       -7.114741    1.394923   -2.662690
   44          6             0       -6.490192    0.228371   -2.224869
   45          6             0       -5.172012    0.258739   -1.720341
   46          6             0       -4.573181    1.516574   -1.645052
   47          5             0       -4.545067   -1.075511   -1.268842
   48          6             0       -3.141269   -1.453183   -0.764264
   49          6             0       -2.007082   -0.621493   -0.721869
   50          6             0       -0.802534   -1.029208   -0.201013
   51          6             0       -0.666696   -2.319645    0.308934
   52          7             0        0.582653   -2.709955    0.860814
   53          6             0        1.022772   -2.046198    1.991780
   54          6             0        0.127789   -1.236740    2.705974
   55          6             0        0.527889   -0.569116    3.840529
   56          6             0        1.837470   -0.681457    4.279156
   57          6             0        2.718312   -1.492549    3.589647
   58          6             0        2.333853   -2.202358    2.460139
   59          6             0        3.320421   -3.130357    1.784383
   60          6             0        4.501602   -2.299108    1.252470
   61          6             0        3.815177   -4.156303    2.822875
   62          6             0        2.690573   -3.878201    0.627911
   63          6             0        3.442387   -4.817109   -0.064149
