 Entering Gaussian System
 *********************************************
 Gaussian 98:
 frequency output generated by the xtb code
 *********************************************
                         Standard orientation:
 --------------------------------------------------------------------
  Center     Atomic     Atomic              Coordinates (Angstroms)
  Number     Number      Type              X           Y           Z
 --------------------------------------------------------------------
    1          7             0       -7.641234    5.860122    2.123447
    2          6             0       -7.017890    4.942801    1.830257
    3          6             0       -6.236093    3.817865    1.488705
    4          6             0       -5.148474    3.489015    2.272641
    5          6             0       -4.396455    2.350990    1.987051
    6          6             0       -4.703224    1.566040    0.896365
    7          7             0       -4.024222    0.355265    0.696510
    8          6             0       -4.641010   -0.885192    0.724849
    9          6             0       -6.086868   -1.012200    0.870249
   10          6             0       -6.731871   -0.325869    1.896907
   11          6             0       -8.105106   -0.329436    2.006653
   12          6             0       -8.891620   -1.016172    1.080504
   13          6             0      -10.314856   -1.009288    1.146011
   14          6             0      -11.061891   -1.688120    0.245078
   15          6             0      -10.452166   -2.436252   -0.804334
   16          6             0      -11.203879   -3.143062   -1.744460
   17          6             0      -10.583298   -3.859357   -2.751512
   18          6             0       -9.204167   -3.886986   -2.847027
   19          6             0       -8.412485   -3.193922   -1.929740
   20          6             0       -6.989100   -3.198922   -1.996205
   21          6             0       -6.238401   -2.515456   -1.101539
   22          6             0       -6.840375   -1.764997   -0.049334
   23          6             0       -8.253955   -1.748930    0.049233
   24          6             0       -9.037941   -2.459171   -0.892938
   25          7             0       -3.781612   -1.859632    0.612307
   26          6             0       -2.555207   -1.276058    0.514588
   27          6             0       -1.290478   -1.915460    0.413610
   28          6             0       -1.172214   -3.309896    0.409153
   29          6             0        0.061218   -3.903920    0.351589
   30          6             0        1.217720   -3.113511    0.294517
   31          6             0        2.548965   -3.732646    0.243351
   32          6             0        2.854757   -4.839005    1.033408
   33          6             0        4.115511   -5.400245    1.011026
   34          6             0        5.100477   -4.875531    0.178551
   35          7             0        6.384463   -5.434347    0.156064
   36          6             0        6.684753   -6.773883    0.008186
   37          6             0        5.836797   -7.852947   -0.196503
   38          6             0        6.407057   -9.103043   -0.341463
   39          6             0        7.787709   -9.283314   -0.294273
   40          6             0        8.637665   -8.210372   -0.115722
   41          6             0        8.088258   -6.943757    0.032579
   42          6             0        8.654732   -5.636188    0.209937
   43          6             0        9.956500   -5.166649    0.325389
   44          6             0       10.157719   -3.814306    0.515541
   45          6             0        9.080199   -2.936088    0.607038
   46          6             0        7.776327   -3.379220    0.495434
   47          6             0        7.568437   -4.733920    0.278439
   48          6             0        4.798393   -3.783360   -0.630510
   49          6             0        3.540997   -3.217424   -0.589418
   50          6             0        1.098601   -1.735007    0.291537
   51          6             0       -0.143455   -1.092047    0.343717
   52          6             0       -0.280438    0.354048    0.302896
   53          6             0        0.830640    1.189491    0.151568
   54          6             0        0.726118    2.565685    0.060646
   55          6             0        1.931627    3.390942   -0.084659
   56          6             0        2.058874    4.596032    0.603552
   57          6             0        3.205960    5.355999    0.497917
   58          6             0        4.252169    4.934296   -0.318451
   59          7             0        5.422608    5.695002   -0.423369
   60          6             0        5.490348    7.049907   -0.681985
   61          6             0        4.469705    7.951971   -0.946000
   62          6             0        4.818698    9.264006   -1.202719
