 Entering Gaussian System
 *********************************************
 Gaussian 98:
 frequency output generated by the xtb code
 *********************************************
                         Standard orientation:
 --------------------------------------------------------------------
  Center     Atomic     Atomic              Coordinates (Angstroms)
  Number     Number      Type              X           Y           Z
 --------------------------------------------------------------------
    1          6             0        2.827591   -3.707070    5.423384
    2          6             0        2.580795   -2.461832    4.624840
    3          6             0        3.137919   -1.263906    5.038542
    4          6             0        2.923460   -0.085348    4.341995
    5          6             0        3.551975    1.188485    4.825950
    6          6             0        2.126613   -0.114831    3.200428
    7          6             0        1.836358    1.188836    2.490265
    8          6             0        2.937931    1.531037    1.613164
    9          6             0        3.870582    1.753674    0.886682
   10          6             0        4.940257    1.986610   -0.005371
   11          6             0        4.729441    2.635771   -1.220385
   12          6             0        5.762889    2.824882   -2.110780
   13          6             0        7.059958    2.370527   -1.831192
   14          7             0        8.083512    2.509517   -2.747630
   15          6             0        9.440565    2.241278   -2.337269
   16          6             0        7.898382    3.375663   -3.886820
   17          6             0        7.264975    1.734126   -0.599082
   18          6             0        6.228566    1.545073    0.289694
   19          6             0        1.582267   -1.319859    2.722416
   20          5             0        0.800915   -1.353738    1.345978
   21          6             0       -0.615949   -2.038644    1.206624
   22          6             0       -0.869719   -2.938837    0.153765
   23          6             0        0.216987   -3.359288   -0.794364
   24          6             0       -2.137781   -3.488848   -0.023545
   25          6             0       -2.430951   -4.430832   -1.153248
   26          6             0       -3.152235   -3.149660    0.855166
   27          6             0       -2.936259   -2.285067    1.913519
   28          6             0       -4.075196   -1.945615    2.830402
   29          6             0       -1.663908   -1.743812    2.096731
   30          6             0       -1.474945   -0.765880    3.237040
   31          6             0       -2.057428    0.509542    2.866364
   32          6             0       -2.564325    1.529872    2.476622
   33          6             0       -3.161586    2.707295    1.973150
   34          6             0       -3.621963    2.742030    0.656317
   35          6             0       -4.211931    3.876731    0.145200
   36          6             0       -4.377411    5.029539    0.927407
   37          7             0       -5.014151    6.148733    0.432219
   38          6             0       -4.959039    7.383304    1.176755
   39          6             0       -5.297103    6.237232   -0.979739
   40          6             0       -3.902879    4.984736    2.246293
   41          6             0       -3.311362    3.849391    2.756529
   42          6             0        1.471266   -0.721088    0.061128
   43          6             0        2.768257   -1.080632   -0.343160
   44          6             0        3.605434   -2.045306    0.447020
   45          6             0        3.317276   -0.560465   -1.515520
   46          6             0        4.701827   -0.931063   -1.956457
   47          6             0        2.567286    0.307028   -2.290010
   48          6             0        1.293167    0.695904   -1.913475
   49          6             0        0.520732    1.650266   -2.776986
   50          6             0        0.757284    0.191841   -0.731082
   51          6             0       -0.606599    0.682354   -0.301021
   52          6             0       -1.663894    0.010366   -1.027309
   53          6             0       -2.537324   -0.585148   -1.601631
   54          6             0       -3.572348   -1.314013   -2.227281
   55          6             0       -4.792512   -1.503811   -1.580797
   56          6             0       -5.794331   -2.247734   -2.164142
   57          6             0       -5.623367   -2.841966   -3.422870
   58          7             0       -6.605812   -3.635715   -3.983308
   59          6             0       -7.929124   -3.631295   -3.407690
   60          6             0       -6.494050   -4.021429   -5.369399
   61          6             0       -4.398813   -2.630389   -4.071432
   62          6             0       -3.397675   -1.886118   -3.485470
