 Entering Gaussian System
 *********************************************
 Gaussian 98:
 frequency output generated by the xtb code
 *********************************************
                         Standard orientation:
 --------------------------------------------------------------------
  Center     Atomic     Atomic              Coordinates (Angstroms)
  Number     Number      Type              X           Y           Z
 --------------------------------------------------------------------
    1          6             0       -7.444927   -1.012272    4.400134
    2          6             0       -7.585893   -1.387199    2.918029
    3          6             0       -9.042917   -1.157864    2.507120
    4          6             0       -7.267263   -2.876692    2.725504
    5          6             0       -6.609335   -0.557616    2.096785
    6          6             0       -5.237504   -0.673887    2.358992
    7          6             0       -4.277893    0.030063    1.660977
    8          6             0       -4.700150    0.881716    0.651875
    9          6             0       -6.076459    1.037671    0.385582
   10          6             0       -7.020847    0.316467    1.104648
   11          6             0       -6.179677    2.011075   -0.666011
   12          6             0       -7.259517    2.554585   -1.349652
   13          6             0       -7.040821    3.479927   -2.356408
   14          6             0       -8.174874    4.123900   -3.140848
   15          6             0       -9.554553    3.646443   -2.679177
   16          6             0       -8.023444    3.773694   -4.627895
   17          6             0       -8.112974    5.646766   -2.956077
   18          6             0       -5.719759    3.827857   -2.669511
   19          6             0       -4.628524    3.304024   -2.007275
   20          6             0       -4.861093    2.400468   -0.981849
   21          7             0       -3.972819    1.712456   -0.178399
   22          6             0       -2.578132    1.832560   -0.192750
   23          6             0       -1.991200    3.104270   -0.161722
   24          6             0       -0.620941    3.267948   -0.163687
   25          6             0        0.173440    2.130251   -0.166642
   26          6             0       -0.408325    0.843839   -0.219229
   27          6             0       -1.786045    0.693677   -0.238195
   28          6             0        0.676922   -0.095751   -0.261460
   29          6             0        0.723955   -1.480591   -0.299969
   30          6             0        1.964639   -2.102378   -0.286723
   31          7             0        2.047920   -3.499974   -0.306541
   32          6             0        2.849313   -4.255317   -1.139791
   33          6             0        3.700080   -3.863701   -2.161894
   34          6             0        4.368726   -4.847245   -2.861364
   35          6             0        4.217786   -6.213550   -2.587884
   36          6             0        5.007452   -7.218816   -3.413782
   37          6             0        4.614838   -7.077132   -4.891189
   38          6             0        6.508109   -6.941717   -3.245395
   39          6             0        4.742833   -8.665961   -2.989141
   40          6             0        3.345355   -6.593857   -1.581911
   41          6             0        2.658817   -5.625081   -0.861548
   42          6             0        1.692525   -5.694493    0.199308
   43          6             0        1.125095   -6.754063    0.895353
   44          6             0        0.212098   -6.502858    1.905762
   45          6             0       -0.456761   -7.612907    2.703705
   46          6             0       -1.978484   -7.513329    2.526074
   47          6             0       -0.094925   -7.457250    4.187604
   48          6             0       -0.017399   -9.008483    2.252365
   49          6             0       -0.099915   -5.170633    2.209199
   50          6             0        0.448740   -4.099107    1.535104
   51          6             0        1.341032   -4.363649    0.507578
   52          6             0        3.139546   -1.341334   -0.230931
   53          6             0        3.106785    0.038032   -0.212364
   54          6             0        1.868264    0.663334   -0.242451
   55          7             0        1.552396    2.009329   -0.185192
   56          6             0        2.466296    3.063602   -0.154273
   57          6             0        2.318798    4.090778    0.779775
   58          6             0        3.217880    5.139283    0.798791
   59          6             0        4.263278    5.158110   -0.105398
   60         16             0        5.446523    6.507841   -0.039651
   61          8             0        6.285256    6.432444   -1.206164
   62          8             0        4.736567    7.731495    0.222049
