 Entering Gaussian System
 *********************************************
 Gaussian 98:
 frequency output generated by the xtb code
 *********************************************
                         Standard orientation:
 --------------------------------------------------------------------
  Center     Atomic     Atomic              Coordinates (Angstroms)
  Number     Number      Type              X           Y           Z
 --------------------------------------------------------------------
    1          6             0       -1.119566    7.305589    2.090739
    2          6             0       -2.536807    6.717363    2.034795
    3          6             0       -3.403820    7.644749    1.179078
    4          6             0       -3.135576    6.669786    3.447762
    5          6             0       -2.464938    5.304543    1.478239
    6          6             0       -1.680379    4.351110    2.123966
    7          6             0       -1.571946    3.061313    1.651075
    8          6             0       -2.245687    2.673142    0.495034
    9          7             0       -2.098360    1.371869   -0.005129
   10          6             0       -3.203163    0.679370   -0.500279
   11          6             0       -3.081279   -0.227509   -1.550535
   12          6             0       -4.186522   -0.896031   -2.040560
   13          6             0       -5.458125   -0.682224   -1.521632
   14          6             0       -6.707705   -1.352114   -2.071795
   15          6             0       -7.418854   -2.124241   -0.952106
   16          6             0       -6.400156   -2.332484   -3.207043
   17          6             0       -7.643488   -0.265272   -2.621290
   18          6             0       -5.567851    0.221286   -0.466608
   19          6             0       -4.471515    0.884363    0.042311
   20          6             0       -0.821578    0.802670   -0.023190
   21          6             0       -0.663130   -0.556522    0.219510
   22          6             0        0.601745   -1.135310    0.146962
   23          6             0        1.737181   -0.339066   -0.103878
   24          6             0        1.557477    1.046586   -0.278379
   25          6             0        0.286612    1.605865   -0.281014
   26          7             0        2.667606    1.844802   -0.505693
   27          6             0        2.696852    3.178640   -0.077407
   28          6             0        2.027598    3.564906    1.081023
   29          6             0        2.101043    4.868470    1.526019
   30          6             0        2.867689    5.791296    0.836853
   31          6             0        3.569188    5.399741   -0.290184
   32          6             0        3.494046    4.099194   -0.764129
   33          6             0        4.197991    3.599207   -2.006455
   34          6             0        3.151539    3.470841   -3.134148
   35          6             0        5.297262    4.548512   -2.482112
   36          6             0        4.713481    2.205000   -1.693971
   37          6             0        5.930948    1.730276   -2.142325
   38          6             0        6.275843    0.395621   -1.977621
   39          6             0        5.399929   -0.471725   -1.365863
   40          6             0        4.180090   -0.036429   -0.838987
   41          6             0        3.858015    1.325142   -1.010332
   42          5             0        3.118975   -0.953915   -0.184909
   43          6             0        3.197697   -2.416541    0.290526
   44          6             0        4.389992   -3.105582    0.549222
   45          6             0        4.442217   -4.442187    0.890150
   46          6             0        5.738227   -5.186257    1.170922
   47          6             0        5.885179   -6.336574    0.164792
   48          6             0        6.972209   -4.287779    1.050599
   49          6             0        5.693580   -5.748333    2.598802
   50          6             0        3.225470   -5.126799    0.961356
   51          6             0        2.027446   -4.485495    0.761303
   52          6             0        1.984500   -3.117665    0.463404
   53          7             0        0.757476   -2.492168    0.334375
   54          6             0       -0.437895   -3.260175    0.430482
   55          6             0       -1.160870   -3.554124   -0.715027
   56          6             0       -2.365281   -4.229063   -0.627152
   57          6             0       -2.876723   -4.633306    0.599969
   58          6             0       -4.212836   -5.342924    0.746599
   59          6             0       -4.915001   -5.556763   -0.596530
   60          6             0       -5.125436   -4.485649    1.636047
   61          6             0       -3.990052   -6.716228    1.394947
   62          6             0       -2.125614   -4.349849    1.738944
