 Entering Gaussian System
 *********************************************
 Gaussian 98:
 frequency output generated by the xtb code
 *********************************************
                         Standard orientation:
 --------------------------------------------------------------------
  Center     Atomic     Atomic              Coordinates (Angstroms)
  Number     Number      Type              X           Y           Z
 --------------------------------------------------------------------
    1          6             0       13.082205   -3.454018   -0.426446
    2          6             0       13.782136   -2.457093   -1.086983
    3          6             0       13.393266   -1.135936   -0.973819
    4          6             0       12.296139   -0.791852   -0.184525
    5          7             0       11.904870    0.548387   -0.057159
    6          6             0       12.879846    1.552083    0.022369
    7          6             0       12.681846    2.781807   -0.605613
    8          6             0       13.645866    3.768326   -0.524438
    9          6             0       14.823057    3.544035    0.171306
   10          6             0       15.026870    2.322321    0.792524
   11          6             0       14.064364    1.333163    0.725421
   12          6             0       10.550985    0.881013   -0.014385
   13          6             0        9.618028    0.172284   -0.774964
   14          6             0        8.281191    0.502688   -0.729680
   15          6             0        7.824305    1.557388    0.062198
   16          6             0        6.400808    1.909327    0.096183
   17          6             0        6.011171    3.271265    0.166838
   18          6             0        4.699083    3.639401    0.188586
   19          6             0        3.686946    2.655907    0.144561
   20          7             0        2.396073    3.015899    0.160888
   21          6             0        1.485022    2.058488    0.118089
   22          6             0        0.087049    2.419367    0.124594
   23          6             0       -0.277243    3.768952    0.179929
   24          6             0       -1.596678    4.146641    0.179772
   25          6             0       -2.603751    3.176577    0.114360
   26          6             0       -4.018764    3.569145    0.102418
   27          6             0       -4.480896    4.599979    0.920336
   28          6             0       -5.807497    4.975195    0.912100
   29          6             0       -6.721214    4.331451    0.075601
   30          7             0       -8.065214    4.712736    0.060705
   31          6             0       -8.694384    5.107949    1.248747
   32          6             0       -9.614648    6.156056    1.248412
   33          6             0      -10.235889    6.537928    2.422076
   34          6             0       -9.946089    5.890995    3.612691
   35          6             0       -9.030381    4.851034    3.619177
   36          6             0       -8.410428    4.456409    2.449137
   37          6             0       -8.782075    4.713961   -1.142883
   38          6             0       -8.167119    5.102939   -2.333143
   39          6             0       -8.878640    5.101498   -3.517498
   40          6             0      -10.211612    4.723361   -3.535714
   41          6             0      -10.828627    4.340653   -2.355476
   42          6             0      -10.122878    4.329944   -1.167696
   43          6             0       -6.263932    3.299538   -0.745876
   44          6             0       -4.936668    2.926408   -0.727931
   45          6             0       -2.242924    1.837915    0.060825
   46          6             0       -0.909215    1.423587    0.069854
   47          6             0       -0.526134    0.017221    0.027677
   48          6             0       -1.466479   -1.014874   -0.003115
   49          6             0       -1.098583   -2.352484   -0.032649
   50          6             0       -2.121384   -3.405054   -0.051935
   51          6             0       -3.276292   -3.273792   -0.823059
   52          6             0       -4.235786   -4.263430   -0.842787
   53          6             0       -4.080640   -5.417403   -0.072155
   54          7             0       -5.056810   -6.415663   -0.077981
   55          6             0       -6.412549   -6.073777   -0.168366
   56          6             0       -6.902697   -4.941729    0.483001
   57          6             0       -8.240172   -4.608025    0.388723
   58          6             0       -9.111030   -5.398252   -0.344227
   59          6             0       -8.630571   -6.526972   -0.988603
   60          6             0       -7.292724   -6.863245   -0.908502
   61          6             0       -4.683006   -7.763179    0.015025
   62          6             0       -3.544386   -8.227976   -0.643247
