 Entering Gaussian System
 *********************************************
 Gaussian 98:
 frequency output generated by the xtb code
 *********************************************
                         Standard orientation:
 --------------------------------------------------------------------
  Center     Atomic     Atomic              Coordinates (Angstroms)
  Number     Number      Type              X           Y           Z
 --------------------------------------------------------------------
    1          6             0      -11.363756   -1.872675    2.957776
    2          6             0      -10.890698   -2.954361    1.975055
    3          6             0      -11.688604   -2.853781    0.666588
    4          6             0      -11.173481   -4.324076    2.599620
    5          6             0       -9.412784   -2.739504    1.679244
    6          6             0       -8.434191   -3.684447    1.989983
    7          6             0       -7.104217   -3.432914    1.735685
    8          6             0       -6.710033   -2.232476    1.147840
    9          6             0       -7.662888   -1.267018    0.774462
   10          6             0       -8.996920   -1.560975    1.081365
   11          5             0       -7.132690    0.012694    0.081097
   12          6             0       -7.828086    1.212320   -0.608579
   13          6             0       -9.195310    1.326034   -0.904316
   14          6             0       -9.760375    2.434276   -1.505709
   15          6             0      -11.242749    2.540801   -1.833673
   16          6             0      -12.033120    1.298414   -1.412311
   17          6             0      -11.403590    2.719002   -3.350795
   18          6             0      -11.833974    3.754561   -1.101203
   19          6             0       -8.910746    3.498557   -1.826335
   20          6             0       -7.560404    3.427805   -1.582328
   21          6             0       -7.010428    2.288505   -0.992939
   22          8             0       -5.651561    2.327350   -0.848871
   23          6             0       -4.956414    1.261147   -0.394442
   24          6             0       -3.569529    1.359661   -0.397681
   25          6             0       -2.809950    0.284043    0.046423
   26          7             0       -1.397085    0.363808    0.030368
   27          6             0       -0.714364    0.365563   -1.186378
   28          6             0       -1.393483    0.316627   -2.394961
   29          6             0       -0.710064    0.357320   -3.603424
   30          6             0        0.664124    0.454369   -3.609999
   31          6             0        1.359486    0.470410   -2.407928
   32          6             0        0.692330    0.395183   -1.193992
   33          7             0        1.393877    0.370152    0.012170
   34          6             0        2.806841    0.296028   -0.004894
   35          6             0        3.562895    1.375072    0.437301
   36          6             0        4.950180    1.283441    0.429120
   37          6             0        5.606152    0.135250   -0.040823
   38          6             0        4.811583   -0.929244   -0.493641
   39          6             0        3.423887   -0.860941   -0.466032
   40          8             0        5.363848   -2.070739   -0.960814
   41          6             0        6.714482   -2.195851   -1.132860
   42          6             0        7.112396   -3.390029   -1.730904
   43          6             0        8.441385   -3.627938   -2.002519
   44          6             0        9.415295   -2.675414   -1.699952
   45          6             0       10.890569   -2.874978   -2.019245
   46          6             0       11.337678   -1.786164   -3.006299
   47          6             0       11.708263   -2.770359   -0.723407
   48          6             0       11.177017   -4.240293   -2.651762
   49          6             0        8.996303   -1.504453   -1.089492
   50          6             0        7.663469   -1.224652   -0.764615
   51          5             0        7.130031    0.046272   -0.058320
   52          6             0        7.822615    1.245427    0.634889
   53          6             0        9.185253    1.366094    0.932607
   54          6             0        9.750984    2.477841    1.535227
   55          6             0       11.244824    2.498866    1.828678
   56          6             0       11.702072    3.814223    2.466620
   57          6             0       11.576696    1.355227    2.799092
   58          6             0       12.021066    2.310753    0.516918
   59          6             0        8.902369    3.538645    1.854443
   60          6             0        7.549466    3.459280    1.609196
   61          6             0        7.001572    2.320432    1.021868
   62          8             0        5.641864    2.353414    0.880150
   63          6             0        0.711022    0.373719    1.228948
