 Entering Gaussian System
 *********************************************
 Gaussian 98:
 frequency output generated by the xtb code
 *********************************************
                         Standard orientation:
 --------------------------------------------------------------------
  Center     Atomic     Atomic              Coordinates (Angstroms)
  Number     Number      Type              X           Y           Z
 --------------------------------------------------------------------
    1          6             0        7.384569   -8.029197    2.368149
    2          6             0        7.050865   -7.693259    0.906768
    3          6             0        5.646525   -8.211648    0.562301
    4          6             0        8.059357   -8.416441    0.008794
    5          6             0        7.081623   -6.183047    0.726393
    6          6             0        6.214331   -5.382620    1.467548
    7          6             0        6.206558   -4.008711    1.337577
    8          6             0        7.076864   -3.368741    0.458280
    9          6             0        7.076509   -1.904555    0.320156
   10          6             0        8.290929   -1.209426    0.226937
   11          6             0        8.343318    0.163110    0.097043
   12          6             0        7.143289    0.858386    0.046235
   13          6             0        5.907981    0.179705    0.156794
   14          6             0        5.879440   -1.200101    0.292165
   15          6             0        4.885721    1.189279    0.106663
   16          6             0        3.502294    1.141680    0.148159
   17          6             0        2.782791    2.330238    0.064306
   18          6             0        1.322874    2.348503    0.095096
   19          6             0        0.523768    1.244527   -0.229953
   20          7             0       -0.790253    1.289183   -0.215187
   21          6             0       -1.391505    2.438917    0.126640
   22          6             0       -2.852224    2.446973    0.131834
   23          6             0       -3.588931    3.637314    0.254690
   24          6             0       -4.967145    3.645740    0.253286
   25          6             0       -5.633378    2.433794    0.117017
   26          6             0       -4.909175    1.220699    0.005560
   27          6             0       -3.527021    1.232680    0.010320
   28          6             0       -5.888585    0.172184   -0.087279
   29          6             0       -5.798926   -1.203523   -0.232598
   30          6             0       -6.965080   -1.953349   -0.325677
   31          6             0       -6.897412   -3.414009   -0.483517
   32          6             0       -5.979094   -4.171949    0.235453
   33          6             0       -5.911531   -5.545587    0.086586
   34          6             0       -6.753348   -6.220649   -0.789672
   35          6             0       -6.710525   -7.728044   -0.989978
   36          6             0       -5.651001   -8.410278   -0.119182
   37          6             0       -8.080479   -8.321781   -0.629120
   38          6             0       -6.385597   -8.027931   -2.461154
   39          6             0       -7.669575   -5.455886   -1.509190
   40          6             0       -7.745396   -4.085933   -1.360715
   41          6             0       -8.208733   -1.307347   -0.278083
   42          6             0       -8.321210    0.059778   -0.127754
   43          6             0       -7.152774    0.800927   -0.021409
   44          7             0       -6.980857    2.165900    0.103337
   45          6             0       -8.013593    3.115449    0.199451
   46          6             0       -8.048840    4.210085   -0.653825
   47          6             0       -9.067830    5.141016   -0.553959
   48          6             0      -10.083403    5.006909    0.386019
   49          6             0      -11.224279    6.003520    0.522008
   50          6             0      -11.192409    6.609824    1.933106
   51          6             0      -12.556914    5.272534    0.299611
   52          6             0      -11.132735    7.147660   -0.492248
   53          6             0      -10.032891    3.900622    1.232541
   54          6             0       -9.017316    2.969209    1.150603
   55          6             0       -0.590368    3.541621    0.453020
   56          7             0        0.724855    3.498799    0.433882
   57          6             0        3.467189    3.551726   -0.061441
   58          6             0        4.840928    3.619046   -0.112979
   59          6             0        5.556684    2.430966   -0.017349
   60          7             0        6.913506    2.215578   -0.057532
   61          6             0        7.901326    3.207526   -0.192884
   62          6             0        8.866293    3.109762   -1.186311
   63          6             0        9.837592    4.086844   -1.315138
   64          6             0        9.873131    5.190335   -0.470164
   65          6             0       10.920632    6.287353   -0.582700
   66          6             0       10.216148    7.627705   -0.840944
   67          6             0       11.912613    6.041597   -1.723671
   68          6             0       11.711058    6.360190    0.732466
   69          6             0        8.894623    5.273211    0.519068
   70          6             0        7.925453    4.301114    0.665428
   71          6             0        7.945589   -4.162547   -0.283170
   72          6             0        7.945035   -5.539741   -0.152690
   73          1             0        8.371572   -7.649360    2.625664
   74          1             0        6.662392   -7.589599    3.050807
   75          1             0        7.380006   -9.107389    2.515076
   76          1             0        4.893415   -7.782615    1.217631
   77          1             0        5.391460   -7.954397   -0.464167
   78          1             0        5.611135   -9.294275    0.666081
   79          1             0        9.077174   -8.104669    0.232526
   80          1             0        7.851374   -8.229964   -1.042535
   81          1             0        7.991977   -9.489254    0.179375
   82          1             0        5.526981   -5.834702    2.167459
   83          1             0        5.531122   -3.419819    1.942300
   84          1             0        9.213990   -1.767584    0.282900
   85          1             0        9.290396    0.679062    0.048997
   86          1             0        4.936037   -1.721137    0.358998
   87          1             0        3.001027    0.192918    0.262612
   88          1             0        0.950204    0.297813   -0.535312
   89          1             0       -3.071059    4.579615    0.342701
   90          1             0       -5.511106    4.571941    0.360608
   91          1             0       -2.957801    0.321033   -0.076434
   92          1             0       -4.832786   -1.680668   -0.298541
   93          1             0       -5.318213   -3.682200    0.936937
   94          1             0       -5.184739   -6.083512    0.673852
   95          1             0       -5.849504   -8.248379    0.938040
   96          1             0       -4.654473   -8.043886   -0.355655
   97          1             0       -5.666741   -9.482817   -0.303502
   98          1             0       -8.866126   -7.920704   -1.263610
   99          1             0       -8.063559   -9.403062   -0.750353
  100          1             0       -8.328550   -8.093966    0.405949
  101          1             0       -5.424977   -7.592712   -2.730496
  102          1             0       -6.335086   -9.102959   -2.622105
  103          1             0       -7.142071   -7.619376   -3.125663
  104          1             0       -8.341956   -5.933480   -2.206672
  105          1             0       -8.456897   -3.525076   -1.950278
  106          1             0       -9.107144   -1.903224   -0.345002
  107          1             0       -9.289842    0.535789   -0.102675
  108          1             0       -7.281915    4.325166   -1.405848
  109          1             0       -9.057308    5.975058   -1.236061
  110          1             0      -10.241594    7.110075    2.106906
  111          1             0      -11.991486    7.339789    2.043826
  112          1             0      -11.320378    5.847287    2.696434
  113          1             0      -12.575091    4.813697   -0.687172
  114          1             0      -12.711907    4.493440    1.040798
  115          1             0      -13.383892    5.976107    0.368108
  116          1             0      -11.174401    6.771737   -1.512080
  117          1             0      -11.972812    7.824533   -0.349944
  118          1             0      -10.216788    7.718666   -0.358107
  119          1             0      -10.796378    3.757593    1.981856
  120          1             0       -8.990767    2.129661    1.829754
  121          1             0       -1.009466    4.493040    0.751935
  122          1             0        2.876870    4.452448   -0.126549
  123          1             0        5.344271    4.566294   -0.232288
  124          1             0        8.848282    2.271094   -1.866882
  125          1             0       10.567020    3.972212   -2.099858
  126          1             0        9.548142    7.889646   -0.025104
  127          1             0       10.952217    8.422019   -0.945612
  128          1             0        9.631802    7.575854   -1.757705
  129          1             0       11.403991    6.006177   -2.684456
  130          1             0       12.634211    6.855459   -1.756426
  131          1             0       12.460788    5.114167   -1.573979
  132          1             0       12.192833    5.405744    0.936000
  133          1             0       11.064566    6.601477    1.571682
  134          1             0       12.479902    7.126853    0.663681
  135          1             0        8.884786    6.109268    1.201515
  136          1             0        7.189255    4.379091    1.451967
  137          1             0        8.620341   -3.698405   -0.988740
  138          1             0        8.635348   -6.106053   -0.756977
 --------------------------------------------------------------------
     1 basis functions        1 primitive gaussians
     1 alpha electrons        1 beta electrons
 
 Harmonic frequencies (cm**-1), IR intensities (km*mol⁻¹),
 Raman scattering activities (A**4/amu), Raman depolarization ratios,
 reduced masses (AMU), force constants (mDyne/A) and normal coordinates:
                      1                      2                      3
                        a                      a                      a 
 Frequencies --     2.4656                 5.6802                 9.0477
 Red. masses --    10.6582                10.8860                10.7185
 Frc consts  --     0.0000                 0.0000                 0.0000
 IR Inten    --     0.0428                 0.2127                 0.1515
 Raman Activ --     0.0000                 0.0000                 0.0000
 Depolar     --     0.0000                 0.0000                 0.0000
 Atom AN      X      Y      Z        X      Y      Z        X      Y      Z
   1   6    -0.06   0.06   0.21    -0.17  -0.01  -0.05     0.16   0.04   0.05
   2   6    -0.04   0.02   0.20    -0.13   0.01  -0.06     0.17   0.01   0.04
   3   6    -0.04   0.01   0.19    -0.12   0.03  -0.10     0.19  -0.04   0.03
   4   6    -0.03  -0.01   0.23    -0.11   0.00  -0.04     0.20   0.02   0.06
   5   6    -0.03   0.02   0.16    -0.10   0.01  -0.05     0.14   0.01   0.02
   6   6    -0.04   0.04   0.12    -0.11   0.01  -0.06     0.10  -0.01  -0.00
   7   6    -0.04   0.03   0.09    -0.09   0.01  -0.05     0.07  -0.01  -0.02
   8   6    -0.02   0.01   0.08    -0.06   0.01  -0.03     0.08   0.00  -0.01
   9   6    -0.02   0.00   0.05    -0.04   0.01  -0.02     0.05   0.00  -0.02
  10   6    -0.01  -0.00   0.04    -0.03   0.00   0.01     0.04   0.02   0.00
  11   6    -0.01  -0.00   0.01    -0.02   0.00   0.02     0.03   0.02  -0.00
  12   6    -0.00  -0.00  -0.02    -0.01   0.01  -0.01     0.02   0.00  -0.03
  13   6    -0.01   0.01  -0.01    -0.02   0.02  -0.04     0.02  -0.02  -0.05
  14   6    -0.01   0.01   0.02    -0.04   0.02  -0.05     0.04  -0.02  -0.05
  15   6    -0.00   0.01  -0.04    -0.01   0.03  -0.07     0.01  -0.03  -0.07
  16   6    -0.00   0.01  -0.05    -0.01   0.04  -0.10     0.01  -0.05  -0.09
  17   6     0.00   0.01  -0.08    -0.00   0.04  -0.12    -0.00  -0.05  -0.10
  18   6     0.00   0.02  -0.09    -0.00   0.05  -0.15    -0.00  -0.06  -0.10
  19   6    -0.00   0.01  -0.06     0.00   0.05  -0.16    -0.00  -0.06  -0.10
  20   7    -0.00   0.02  -0.05     0.00   0.06  -0.17    -0.00  -0.06  -0.11
  21   6    -0.00   0.02  -0.07    -0.00   0.05  -0.15    -0.00  -0.06  -0.10
  22   6    -0.00   0.01  -0.04    -0.00   0.04  -0.13    -0.00  -0.05  -0.10
  23   6    -0.00   0.01  -0.00    -0.01   0.03  -0.14     0.01  -0.04  -0.10
  24   6    -0.01   0.00   0.02    -0.01   0.02  -0.10     0.01  -0.02  -0.08
  25   6    -0.00  -0.00   0.01    -0.00   0.01  -0.06    -0.00  -0.02  -0.06
  26   6     0.00   0.01  -0.02     0.01   0.02  -0.06    -0.02  -0.03  -0.06
  27   6     0.00   0.01  -0.05     0.01   0.03  -0.09    -0.02  -0.04  -0.08
  28   6     0.01   0.00  -0.02     0.02   0.00  -0.02    -0.03  -0.02  -0.03
  29   6     0.01   0.01  -0.05     0.03   0.00   0.00    -0.05  -0.02  -0.02
  30   6     0.01   0.00  -0.05     0.03  -0.01   0.04    -0.06  -0.01   0.00
  31   6     0.02   0.00  -0.08     0.05  -0.01   0.06    -0.09  -0.01   0.01
  32   6     0.04  -0.01  -0.11     0.07   0.01   0.05    -0.09  -0.02  -0.00
  33   6     0.04  -0.00  -0.14     0.08   0.01   0.07    -0.12  -0.02   0.01
  34   6     0.03   0.01  -0.14     0.07  -0.01   0.09    -0.14  -0.01   0.02
  35   6     0.03   0.02  -0.17     0.08  -0.02   0.12    -0.18  -0.01   0.03
  36   6     0.05   0.00  -0.21     0.11   0.01   0.11    -0.18  -0.03   0.03
  37   6     0.04   0.00  -0.15     0.10  -0.03   0.15    -0.18   0.02   0.06
  38   6    -0.00   0.05  -0.18     0.06  -0.04   0.11    -0.20  -0.03   0.03
  39   6     0.01   0.02  -0.10     0.05  -0.03   0.10    -0.14   0.00   0.03
  40   6     0.00   0.02  -0.07     0.04  -0.03   0.08    -0.11   0.00   0.02
  41   6     0.01  -0.01  -0.01     0.03  -0.02   0.05    -0.05   0.01   0.02
  42   6     0.01  -0.01   0.02     0.02  -0.02   0.04    -0.03   0.01   0.01
  43   6     0.00  -0.01   0.01     0.01  -0.01   0.00    -0.02  -0.00  -0.02
  44   7    -0.00  -0.01   0.04     0.00  -0.00  -0.03    -0.01  -0.00  -0.03
  45   6    -0.00  -0.01   0.07    -0.01  -0.01  -0.01     0.01   0.01  -0.01
  46   6    -0.02  -0.00   0.09    -0.04  -0.02  -0.02     0.00   0.01  -0.01
  47   6    -0.03  -0.01   0.12    -0.05  -0.03   0.00     0.02   0.02   0.01
  48   6    -0.01  -0.03   0.14    -0.02  -0.03   0.03     0.04   0.04   0.04
  49   6    -0.01  -0.03   0.17    -0.03  -0.05   0.06     0.06   0.06   0.08
  50   6     0.01  -0.06   0.18    -0.00  -0.04   0.05     0.11   0.06   0.07
  51   6    -0.01  -0.04   0.18    -0.03  -0.06   0.09     0.05   0.08   0.11
  52   6    -0.03  -0.02   0.19    -0.06  -0.05   0.05     0.06   0.06   0.07
  53   6     0.01  -0.04   0.12     0.01  -0.03   0.04     0.05   0.05   0.05
  54   6     0.02  -0.03   0.09     0.02  -0.02   0.02     0.03   0.03   0.02
  55   6     0.00   0.03  -0.11    -0.00   0.05  -0.17    -0.00  -0.06  -0.10
  56   7     0.00   0.03  -0.12    -0.00   0.06  -0.17    -0.00  -0.07  -0.11
  57   6     0.01   0.01  -0.10     0.01   0.04  -0.10    -0.01  -0.05  -0.09
  58   6     0.01   0.00  -0.09     0.01   0.03  -0.07    -0.01  -0.03  -0.07
  59   6     0.00   0.00  -0.06     0.00   0.02  -0.05    -0.00  -0.02  -0.06
  60   7     0.00  -0.00  -0.05     0.00   0.01  -0.01     0.00  -0.00  -0.04
  61   6     0.01  -0.01  -0.05     0.02   0.00   0.03    -0.01   0.01   0.00
  62   6     0.02  -0.03  -0.04     0.05  -0.00   0.06     0.02   0.03   0.03
  63   6     0.02  -0.03  -0.04     0.07  -0.02   0.11     0.01   0.05   0.07
  64   6     0.02  -0.02  -0.06     0.05  -0.02   0.11    -0.03   0.04   0.08
  65   6     0.02  -0.03  -0.06     0.08  -0.04   0.17    -0.04   0.06   0.12
  66   6     0.03  -0.03  -0.09     0.11  -0.03   0.14    -0.05   0.05   0.11
  67   6     0.04  -0.05  -0.04     0.12  -0.05   0.21     0.00   0.08   0.15
  68   6     0.01  -0.01  -0.05     0.02  -0.06   0.20    -0.08   0.06   0.15
  69   6     0.00  -0.00  -0.07     0.02  -0.01   0.08    -0.06   0.02   0.05
  70   6    -0.00   0.01  -0.07    -0.00  -0.00   0.03    -0.05   0.00   0.01
  71   6    -0.01  -0.01   0.12    -0.05   0.00  -0.01     0.11   0.01   0.01
  72   6    -0.02  -0.01   0.16    -0.07   0.00  -0.02     0.14   0.02   0.03
  73   1    -0.02   0.02   0.06    -0.05  -0.01  -0.01     0.04   0.02   0.02
  74   1    -0.02   0.02   0.06    -0.05  -0.00  -0.02     0.04   0.01   0.01
  75   1    -0.02   0.02   0.07    -0.05  -0.00  -0.02     0.05   0.01   0.02
  76   1    -0.01   0.01   0.05    -0.04   0.01  -0.03     0.05  -0.01   0.00
