 Entering Gaussian System
 *********************************************
 Gaussian 98:
 frequency output generated by the xtb code
 *********************************************
                         Standard orientation:
 --------------------------------------------------------------------
  Center     Atomic     Atomic              Coordinates (Angstroms)
  Number     Number      Type              X           Y           Z
 --------------------------------------------------------------------
    1          6             0        0.045839    8.261416    0.141090
    2          6             0        0.047457    6.765165    0.104752
    3          6             0       -0.955446    6.042336    0.746915
    4          6             0       -0.973533    4.664238    0.719321
    5          6             0        0.020299    3.959641    0.034387
    6          7             0        0.010289    2.566688    0.002404
    7          6             0        1.203368    1.840235   -0.040458
    8          6             0        1.285884    0.683899   -0.823522
    9          6             0        2.439082   -0.067352   -0.836943
   10          6             0        3.546600    0.304724   -0.074843
   11          6             0        4.746529   -0.607132    0.027473
   12          6             0        5.103533   -1.285421   -1.274016
   13          6             0        5.063416   -0.596739   -2.485702
   14          6             0        5.498865   -1.227872   -3.637362
   15          6             0        5.959395   -2.532649   -3.541781
   16          7             0        6.004042   -3.200586   -2.397820
   17          6             0        5.594510   -2.588060   -1.301422
   18          6             0        4.440240   -1.564852    1.165349
   19          6             0        3.399799   -2.433088    1.291367
   20          6             0        3.270755   -3.241933    2.440614
   21          6             0        2.115454   -4.218365    2.526529
   22          6             0        2.197980   -5.206356    1.349782
   23          6             0        0.791246   -3.439127    2.444602
   24          6             0        2.111646   -5.028813    3.826310
   25          6             0        4.238249   -3.098259    3.463039
   26          6             0        5.283113   -2.222749    3.371136
   27          6             0        5.424038   -1.418139    2.208985
   28          6             0        6.362792   -0.462763    1.827501
   29          6             0        7.534701    0.040846    2.452308
   30          6             0        8.266715    1.003392    1.822301
   31          6             0        7.917899    1.528876    0.550515
   32          6             0        8.794216    2.593050   -0.076571
   33          6             0        8.818793    3.831356    0.836523
   34          6             0       10.223290    2.046469   -0.236606
   35          6             0        8.298558    3.030740   -1.458665
   36          6             0        6.760789    1.027480   -0.074324
   37          6             0        6.002415    0.074321    0.538452
   38          6             0        3.463830    1.464354    0.694103
   39          6             0        2.316693    2.228279    0.708556
   40          6             0       -1.193967    1.855614    0.024316
   41          6             0       -1.289500    0.675001    0.764754
   42          6             0       -2.453619   -0.061640    0.754129
   43          6             0       -3.557706    0.353933    0.012843
   44          6             0       -4.777430   -0.533077   -0.086171
   45          6             0       -5.127105   -1.196077    1.227256
   46          6             0       -5.032737   -0.500505    2.431632
   47          6             0       -5.433946   -1.120606    3.603701
   48          6             0       -5.919222   -2.416042    3.531924
   49          7             0       -6.019471   -3.088656    2.394282
   50          6             0       -5.637403   -2.488433    1.278734
   51          6             0       -4.530468   -1.522229   -1.213774
   52          6             0       -3.502290   -2.424345   -1.345112
   53          6             0       -3.426826   -3.244862   -2.474285
   54          6             0       -2.274222   -4.231987   -2.587277
   55          6             0       -2.318282   -5.051989   -3.880122
   56          6             0       -2.330701   -5.206495   -1.400863
   57          6             0       -0.947717   -3.457064   -2.557710
   58          6             0       -4.413861   -3.117049   -3.448034
   59          6             0       -5.451096   -2.205439   -3.328339
   60          6             0       -5.512381   -1.395272   -2.207368
   61          6             0       -6.444538   -0.358535   -1.809476
   62          6             0       -7.584756    0.143000   -2.413274
   63          6             0       -8.286314    1.163719   -1.791125
   64          6             0       -7.881156    1.702410   -0.572659
   65          6             0       -8.633386    2.824005    0.128223
   66          6             0       -9.093246    2.330232    1.508631
   67          6             0       -7.695117    4.029588    0.293060
   68          6             0       -9.870196    3.286393   -0.647931
   69          6             0       -6.730943    1.184512    0.029332
   70          6             0       -6.025045    0.176266   -0.581961
   71          6             0       -3.464804    1.539544   -0.709141
   72          6             0       -2.304146    2.286798   -0.702416
   73          6             0        1.025267    4.678548   -0.616104
   74          6             0        1.033948    6.058080   -0.574316
   75          1             0       -0.763287    8.650543   -0.477758
   76          1             0       -0.113790    8.619520    1.156796
   77          1             0        0.985227    8.662206   -0.230745
   78          1             0       -1.728084    6.571528    1.285756
   79          1             0       -1.748057    4.120692    1.239685
   80          1             0        0.438187    0.390783   -1.425422
   81          1             0        2.488266   -0.952730   -1.454295
   82          1             0        4.686427    0.415798   -2.522687
   83          1             0        5.479485   -0.720796   -4.590338
   84          1             0        6.307823   -3.074490   -4.411632
   85          1             0        5.657283   -3.171420   -0.390862
   86          1             0        2.675255   -2.513501    0.494526
   87          1             0        1.373970   -5.915513    1.398941
   88          1             0        2.148599   -4.691095    0.394335
   89          1             0        3.134333   -5.759784    1.388661
   90          1             0        0.711008   -2.901682    1.503988
   91          1             0       -0.050905   -4.123981    2.522594
   92          1             0        0.728351   -2.718350    3.257944
   93          1             0        2.018380   -4.379127    4.693863
   94          1             0        3.018922   -5.621482    3.920293
   95          1             0        1.263549   -5.711101    3.825180
   96          1             0        4.153915   -3.697291    4.355783
   97          1             0        5.997545   -2.128381    4.175820
   98          1             0        7.835022   -0.344200    3.415919
   99          1             0        9.153153    1.378488    2.312669
  100          1             0        9.214572    3.590395    1.819358
  101          1             0        7.812013    4.225475    0.961506
  102          1             0        9.443008    4.607045    0.397437
  103          1             0       10.215898    1.154801   -0.861005
  104          1             0       10.858742    2.794121   -0.707184
  105          1             0       10.659593    1.785080    0.723453
  106          1             0        8.283700    2.191852   -2.151517
  107          1             0        8.969232    3.787560   -1.861182
  108          1             0        7.301964    3.462685   -1.398907
  109          1             0        6.461877    1.395362   -1.042653
  110          1             0        4.310542    1.759369    1.296516
  111          1             0        2.263590    3.116505    1.320787
  112          1             0       -0.443137    0.346372    1.349571
  113          1             0       -2.509918   -0.968456    1.338448
  114          1             0       -4.641129    0.506667    2.450831
  115          1             0       -5.371226   -0.608412    4.551910
  116          1             0       -6.243837   -2.947686    4.417226
  117          1             0       -5.743751   -3.078471    0.377066
  118          1             0       -2.756708   -2.496140   -0.568183
  119          1             0       -2.256197   -4.408643   -4.755121
  120          1             0       -3.227975   -5.645573   -3.936594
  121          1             0       -1.470699   -5.734319   -3.904481
  122          1             0       -2.246529   -4.683279   -0.452193
  123          1             0       -1.515797   -5.924574   -1.467496
  124          1             0       -3.272828   -5.751526   -1.405238
  125          1             0       -0.909351   -2.743673   -3.379102
  126          1             0       -0.830517   -2.911209   -1.625771
  127          1             0       -0.110276   -4.144777   -2.658190
  128          1             0       -4.386731   -3.735676   -4.330320
  129          1             0       -6.198042   -2.129479   -4.105206
  130          1             0       -7.928956   -0.253920   -3.357316
  131          1             0       -9.170931    1.537569   -2.280444
  132          1             0       -9.652201    3.111901    2.019171
  133          1             0       -9.737112    1.459060    1.401571
  134          1             0       -8.249181    2.051395    2.133851
  135          1             0       -6.826915    3.777522    0.895908
  136          1             0       -8.221160    4.848555    0.779341
  137          1             0       -7.347646    4.371666   -0.680114
  138          1             0      -10.583346    2.473979   -0.768548
  139          1             0      -10.363387    4.086490   -0.099150
  140          1             0       -9.597055    3.670792   -1.628155
  141          1             0       -6.387248    1.574143    0.975481
  142          1             0       -4.307984    1.874512   -1.294528
  143          1             0       -2.242215    3.196593   -1.280927
  144          1             0        1.790760    4.147286   -1.161976
  145          1             0        1.818781    6.595574   -1.086651
 --------------------------------------------------------------------
     1 basis functions        1 primitive gaussians
     1 alpha electrons        1 beta electrons
 
 Harmonic frequencies (cm**-1), IR intensities (km*mol⁻¹),
 Raman scattering activities (A**4/amu), Raman depolarization ratios,
 reduced masses (AMU), force constants (mDyne/A) and normal coordinates:
                      1                      2                      3
                        a                      a                      a 
 Frequencies --     6.1740                 8.3389                12.6162
 Red. masses --    10.6911                10.5965                10.2406
 Frc consts  --     0.0000                 0.0000                 0.0000
 IR Inten    --     1.8546                 1.1379                 4.5301
 Raman Activ --     0.0000                 0.0000                 0.0000
 Depolar     --     0.0000                 0.0000                 0.0000
 Atom AN      X      Y      Z        X      Y      Z        X      Y      Z
   1   6    -0.01   0.01   0.21     0.01   0.03  -0.09    -0.00  -0.07  -0.06
   2   6    -0.01   0.01   0.18     0.01   0.03  -0.08    -0.00  -0.07  -0.04
   3   6    -0.01  -0.01   0.17     0.01   0.04  -0.06     0.01  -0.06  -0.02
   4   6    -0.01  -0.01   0.14     0.01   0.04  -0.05     0.01  -0.06   0.00
   5   6    -0.01   0.01   0.12     0.00   0.03  -0.04    -0.00  -0.07  -0.01
   6   7    -0.01   0.01   0.10     0.00   0.03  -0.03    -0.00  -0.08   0.00
   7   6    -0.01   0.00   0.07     0.00   0.03  -0.03    -0.00  -0.07   0.01
   8   6    -0.03   0.01   0.06    -0.00   0.02  -0.02     0.01  -0.07   0.03
   9   6    -0.04   0.00   0.04    -0.01   0.01  -0.01     0.02  -0.06   0.03
  10   6    -0.02  -0.01   0.01    -0.01   0.01  -0.01     0.02  -0.03   0.01
  11   6    -0.02  -0.01  -0.01    -0.02  -0.00   0.01     0.04  -0.00   0.02
  12   6    -0.06  -0.03  -0.02    -0.03  -0.04   0.03     0.05  -0.01   0.03
  13   6    -0.09  -0.04  -0.02    -0.01  -0.07   0.02     0.02  -0.03   0.01
  14   6    -0.13  -0.06  -0.03    -0.02  -0.11   0.03     0.03  -0.04   0.02
  15   6    -0.14  -0.06  -0.03    -0.04  -0.11   0.07     0.06  -0.03   0.04
  16   7    -0.12  -0.05  -0.02    -0.06  -0.09   0.09     0.10  -0.01   0.05
  17   6    -0.07  -0.03  -0.02    -0.05  -0.05   0.07     0.08  -0.00   0.04
  18   6     0.01   0.01   0.01    -0.05   0.03   0.04     0.06   0.01   0.03
  19   6     0.01   0.01   0.04    -0.05   0.04   0.04     0.08  -0.02   0.04
  20   6     0.03   0.03   0.05    -0.08   0.07   0.06     0.09   0.00   0.05
  21   6     0.03   0.03   0.09    -0.08   0.07   0.06     0.12  -0.03   0.06
  22   6     0.01   0.01   0.11    -0.05   0.04   0.09     0.19  -0.07   0.09
  23   6     0.03   0.03   0.10    -0.08   0.07   0.02     0.10  -0.09  -0.01
  24   6     0.05   0.05   0.11    -0.10   0.11   0.08     0.12   0.01   0.08
  25   6     0.05   0.04   0.03    -0.10   0.10   0.08     0.08   0.05   0.06
  26   6     0.05   0.03  -0.00    -0.10   0.10   0.07     0.06   0.08   0.05
  27   6     0.03   0.02  -0.02    -0.07   0.06   0.05     0.05   0.06   0.04
  28   6     0.03   0.01  -0.06    -0.05   0.04   0.03     0.03   0.07   0.02
  29   6     0.04   0.01  -0.09    -0.05   0.04   0.04     0.01   0.11   0.02
  30   6     0.03  -0.00  -0.12    -0.02   0.00   0.01    -0.00   0.11   0.00
  31   6     0.01  -0.02  -0.12     0.01  -0.05  -0.02    -0.00   0.07  -0.01
  32   6    -0.00  -0.04  -0.16     0.05  -0.09  -0.05    -0.02   0.08  -0.03
  33   6     0.02  -0.02  -0.19     0.06  -0.05  -0.10    -0.05   0.10  -0.06
  34   6    -0.01  -0.05  -0.18     0.04  -0.13   0.01    -0.01   0.10  -0.02
  35   6    -0.03  -0.06  -0.16     0.09  -0.14  -0.08    -0.03   0.04  -0.04
  36   6    -0.01  -0.03  -0.09     0.01  -0.05  -0.02     0.01   0.03  -0.01
  37   6    -0.00  -0.01  -0.05    -0.02  -0.01   0.01     0.03   0.03   0.01
  38   6     0.00  -0.01   0.02    -0.00   0.02  -0.03     0.01  -0.02   0.00
