 Entering Gaussian System
 *********************************************
 Gaussian 98:
 frequency output generated by the xtb code
 *********************************************
                         Standard orientation:
 --------------------------------------------------------------------
  Center     Atomic     Atomic              Coordinates (Angstroms)
  Number     Number      Type              X           Y           Z
 --------------------------------------------------------------------
    1          6             0       -0.103222   -9.125261    1.895943
    2          6             0        0.389109   -7.781057    2.441410
    3          6             0        1.908247   -7.709481    2.224460
    4          6             0        0.075899   -7.734020    3.944603
    5          6             0       -0.272026   -6.593062    1.754913
    6          6             0        0.095753   -5.296971    2.142938
    7          6             0       -0.443189   -4.161313    1.573843
    8          6             0       -1.385661   -4.320051    0.569125
    9          6             0       -1.792195   -5.612766    0.175956
   10          6             0       -1.231807   -6.738608    0.766758
   11          6             0       -2.796334   -5.432609   -0.836237
   12          6             0       -3.543347   -6.321319   -1.599594
   13          6             0       -4.442296   -5.838750   -2.536569
   14          6             0       -5.299317   -6.752967   -3.402129
   15          6             0       -6.782205   -6.453115   -3.135805
   16          6             0       -5.056006   -8.237200   -3.111264
   17          6             0       -4.975465   -6.499630   -4.882213
   18          6             0       -4.558733   -4.450782   -2.696916
   19          6             0       -3.830311   -3.544912   -1.953323
   20          6             0       -2.951870   -4.039718   -1.001162
   21          7             0       -2.094975   -3.375314   -0.146199
   22          6             0       -1.962759   -1.984195   -0.021036
   23          6             0       -3.105454   -1.193913    0.157488
   24          6             0       -3.021086    0.177172    0.291458
   25          6             0       -1.761398    0.759860    0.273493
   26          6             0       -0.603977   -0.026449    0.074339
   27          6             0       -0.704667   -1.401158   -0.077482
   28          6             0        0.509477    0.881165    0.056643
   29          6             0        1.877169    0.695028   -0.079153
   30          6             0        2.707452    1.804394   -0.005973
   31          7             0        4.097268    1.648867   -0.120330
   32          6             0        4.930885    2.370568   -0.951648
   33          6             0        4.635296    3.351142   -1.886655
   34          6             0        5.677881    3.893799   -2.609802
   35          6             0        7.011106    3.492264   -2.445402
   36          6             0        8.089949    4.160845   -3.287055
   37          6             0        9.490970    3.618793   -2.986836
   38          6             0        7.794963    3.917632   -4.774775
   39          6             0        8.092408    5.669412   -2.997082
   40          6             0        7.290898    2.495099   -1.525573
   41          6             0        6.261160    1.931052   -0.782820
   42          6             0        6.223407    0.892043    0.209028
   43          6             0        7.207399    0.105789    0.795642
   44          6             0        6.861620   -0.823084    1.763235
   45          6             0        7.885915   -1.720160    2.445512
   46          6             0        7.526702   -3.189738    2.179432
   47          6             0        7.870344   -1.446277    3.957018
   48          6             0        9.310504   -1.480539    1.935727
   49          6             0        5.513664   -0.930716    2.133486
   50          6             0        4.515822   -0.162330    1.569255
   51          6             0        4.871209    0.748720    0.585950
   52          6             0        2.170940    3.081465    0.203993
   53          6             0        0.810608    3.283235    0.320584
   54          6             0       -0.024538    2.177719    0.233777
   55          7             0       -1.399469    2.092381    0.364401
   56          6             0       -2.273889    3.163701    0.559432
   57          6             0       -3.237900    3.105063    1.568534
   58          6             0       -4.108204    4.161744    1.754172
   59          6             0       -4.009357    5.276299    0.940976
   60         16             0       -5.168851    6.624231    1.186445
   61          8             0       -5.184271    6.974617    2.591523
   62          8             0       -4.846411    7.683068    0.252733
   63          6             0       -6.759794    5.916420    0.748142
